Date,Time,Open,High,Low,Close,TickVol,Vol,Spread
2025.03.04,14:15:00,2921.05,2923.8,2918.73,2922.71,1415,0,15
2025.03.04,14:30:00,2922.72,2924.5,2919.29,2923.76,1585,0,15
2025.03.04,14:45:00,2923.67,2925.51,2922.39,2924.77,1342,0,15
2025.03.04,15:00:00,2924.88,2927.86,2923.37,2926.62,2430,0,15
2025.03.04,15:15:00,2926.59,2927.03,2921.12,2921.77,2353,0,15
2025.03.04,15:30:00,2921.74,2926.16,2920.27,2921.54,2205,0,15
2025.03.04,15:45:00,2921.56,2923.7,2919.85,2922.63,2246,0,15
2025.03.04,16:00:00,2922.76,2923.16,2918.03,2918.2,2116,0,15
2025.03.04,16:15:00,2918.26,2918.69,2914.36,2916.41,2453,0,15
2025.03.04,16:30:00,2916.42,2919.07,2908.06,2911.49,2702,0,15
2025.03.04,16:45:00,2911.84,2912.36,2903.34,2903.53,2762,0,15
2025.03.04,17:00:00,2903.03,2912.28,2900.38,2911.11,2835,0,15
2025.03.04,17:15:00,2911.13,2911.5,2901.94,2906.92,2612,0,15
2025.03.04,17:30:00,2907.01,2910.59,2906.0,2909.34,2499,0,15
2025.03.04,17:45:00,2909.29,2910.14,2904.0,2906.05,2771,0,15
2025.03.04,18:00:00,2906.04,2909.45,2903.85,2909.4,2368,0,15
2025.03.04,18:15:00,2909.38,2910.1,2906.99,2908.06,2075,0,15
2025.03.04,18:30:00,2908.27,2910.93,2907.47,2910.74,2097,0,15
2025.03.04,18:45:00,2910.73,2915.98,2909.35,2915.15,2076,0,15
2025.03.04,19:00:00,2915.16,2916.4,2914.3,2914.63,1761,0,15
2025.03.04,19:15:00,2914.44,2915.43,2913.09,2914.59,1639,0,15
2025.03.04,19:30:00,2914.57,2914.76,2912.33,2913.86,1684,0,15
2025.03.04,19:45:00,2913.82,2915.62,2911.11,2911.65,1612,0,15
2025.03.04,20:00:00,2911.59,2914.29,2911.06,2913.87,1630,0,15
