<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.06.25	13:00:00	3325.26	3328.43	3325.07	3327.60	1440	0	15
2025.06.25	13:15:00	3327.58	3329.45	3324.28	3326.52	1561	0	15
2025.06.25	13:30:00	3326.54	3326.55	3324.30	3325.20	1112	0	15
2025.06.25	13:45:00	3325.23	3328.07	3324.39	3324.48	1202	0	15
2025.06.25	14:00:00	3324.43	3329.08	3324.01	3328.98	1206	0	15
2025.06.25	14:15:00	3329.00	3329.51	3324.84	3325.32	1362	0	15
2025.06.25	14:30:00	3325.31	3328.45	3324.48	3325.09	1534	0	15
2025.06.25	14:45:00	3325.08	3325.43	3322.22	3322.77	1681	0	15
2025.06.25	15:00:00	3322.67	3326.58	3321.75	3325.90	1363	0	15
2025.06.25	15:15:00	3325.91	3329.44	3325.36	3328.21	1573	0	15
2025.06.25	15:30:00	3328.22	3328.22	3319.44	3319.80	1758	0	15
2025.06.25	15:45:00	3319.74	3322.25	3318.22	3320.64	1655	0	15
2025.06.25	16:00:00	3320.67	3321.59	3313.84	3314.92	2108	0	15
2025.06.25	16:15:00	3314.89	3318.92	3314.10	3314.16	1748	0	15
2025.06.25	16:30:00	3314.19	3315.80	3311.97	3315.09	2219	0	15
2025.06.25	16:45:00	3314.86	3317.47	3313.53	3314.54	2067	0	10
2025.06.25	17:00:00	3314.40	3322.08	3312.39	3319.85	2279	0	10
2025.06.25	17:15:00	3319.86	3323.00	3318.80	3321.78	2031	0	15
2025.06.25	17:30:00	3321.88	3323.43	3320.57	3322.08	1700	0	15
2025.06.25	17:45:00	3322.09	3326.29	3320.96	3323.48	1770	0	15
2025.06.25	18:00:00	3323.47	3325.86	3322.52	3325.26	1698	0	15
2025.06.25	18:15:00	3325.29	3325.43	3322.60	3322.80	1489	0	15
2025.06.25	18:30:00	3322.72	3326.69	3321.67	3326.01	1524	0	15
2025.06.25	18:45:00	3326.07	3327.12	3325.07	3325.64	1472	0	15
2025.06.25	19:00:00	3325.65	3328.34	3324.16	3327.69	1500	0	15
2025.06.25	19:15:00	3327.67	3329.28	3326.97	3329.28	1456	0	15
2025.06.25	19:30:00	3329.34	3333.92	3329.22	3333.06	1721	0	15
2025.06.25	19:45:00	3333.05	3335.12	3332.71	3334.85	1591	0	15
2025.06.25	20:00:00	3334.80	3335.32	3333.20	3333.73	1599	0	15
2025.06.25	20:15:00	3333.74	3333.75	3328.72	3328.93	1538	0	15
2025.06.25	20:30:00	3328.94	3330.17	3324.86	3327.50	1887	0	15
2025.06.25	20:45:00	3327.52	3328.65	3326.49	3327.97	1397	0	15
2025.06.25	21:00:00	3327.99	3329.45	3326.25	3328.04	1366	0	15
2025.06.25	21:15:00	3328.05	3330.28	3327.65	3329.49	1175	0	15
2025.06.25	21:30:00	3329.50	3330.12	3329.14	3329.71	1156	0	15
2025.06.25	21:45:00	3329.73	3331.81	3329.57	3331.64	1160	0	11
2025.06.25	22:00:00	3331.67	3332.97	3330.41	3331.62	1153	0	11
2025.06.25	22:15:00	3331.66	3334.28	3330.85	3333.97	1220	0	11
2025.06.25	22:30:00	3334.04	3335.96	3333.69	3335.91	1509	0	12
2025.06.25	22:45:00	3335.90	3336.03	3332.28	3333.74	1529	0	11
2025.06.25	23:00:00	3333.79	3335.64	3331.42	3332.44	870	0	11
2025.06.25	23:15:00	3332.43	3333.39	3332.25	3332.87	729	0	11
2025.06.25	23:30:00	3332.85	3333.71	3332.58	3333.62	524	0	10
2025.06.25	23:45:00	3333.66	3333.66	3331.69	3331.86	566	0	10
2025.06.26	01:00:00	3334.56	3335.73	3333.15	3333.54	622	0	11
2025.06.26	01:15:00	3333.51	3333.68	3331.32	3332.32	565	0	11
2025.06.26	01:30:00	3332.28	3334.91	3331.88	3334.20	621	0	11
2025.06.26	01:45:00	3334.21	3334.51	3332.58	3333.23	655	0	11
2025.06.26	02:00:00	3333.26	3337.36	3332.92	3337.12	1134	0	11
2025.06.26	02:15:00	3337.06	3337.44	3336.49	3336.98	653	0	11
2025.06.26	02:30:00	3337.03	3338.14	3336.60	3337.83	762	0	11
2025.06.26	02:45:00	3337.75	3340.00	3337.38	3339.07	873	0	11
2025.06.26	03:00:00	3339.02	3339.31	3332.76	3335.61	1490	0	11
2025.06.26	03:15:00	3335.60	3336.51	3333.28	3333.51	1076	0	11
2025.06.26	03:30:00	3333.50	3335.43	3332.21	3334.73	979	0	11
2025.06.26	03:45:00	3334.78	3335.68	3332.17	3334.01	1081	0	11
2025.06.26	04:00:00	3334.06	3336.76	3331.51	3333.14	1944	0	11
2025.06.26	04:15:00	3333.09	3335.06	3330.09	3331.41	1572	0	11
2025.06.26	04:30:00	3331.80	3332.82	3330.77	3331.48	1334	0	11
2025.06.26	04:45:00	3331.50	3333.77	3329.45	3330.13	1483	0	11
2025.06.26	05:00:00	3330.13	3332.49	3329.29	3331.95	1186	0	11
2025.06.26	05:15:00	3331.96	3336.51	3331.60	3335.67	1206	0	11
2025.06.26	05:30:00	3335.65	3340.11	3335.31	3339.97	1488	0	11
2025.06.26	05:45:00	3340.01	3341.75	3338.71	3339.50	1439	0	11
2025.06.26	06:00:00	3339.46	3343.15	3338.05	3341.42	1455	0	11
2025.06.26	06:15:00	3341.41	3341.56	3338.77	3338.91	1008	0	11
2025.06.26	06:30:00	3338.92	3339.53	3336.94	3338.04	1058	0	11
2025.06.26	06:45:00	3338.17	3338.87	3336.45	3338.04	887	0	11
2025.06.26	07:00:00	3338.12	3338.18	3335.68	3336.29	916	0	11
2025.06.26	07:15:00	3336.23	3337.62	3335.61	3335.82	905	0	11
2025.06.26	07:30:00	3335.82	3336.02	3334.23	3335.11	908	0	11
2025.06.26	07:45:00	3335.09	3335.66	3333.46	3334.01	835	0	11
2025.06.26	08:00:00	3333.97	3334.85	3333.14	3333.95	818	0	11
2025.06.26	08:15:00	3333.94	3335.80	3333.41	3334.24	909	0	11
2025.06.26	08:30:00	3334.27	3338.24	3332.46	3335.64	1500	0	11
2025.06.26	08:45:00	3335.68	3336.92	3333.32	3334.19	1366	0	11
2025.06.26	09:00:00	3334.18	3335.46	3331.04	3332.74	1516	0	11
2025.06.26	09:15:00	3332.72	3337.22	3331.44	3337.01	1409	0	11
2025.06.26	09:30:00	3336.97	3338.05	3332.51	3337.10	1381	0	11
2025.06.26	09:45:00	3337.04	3340.37	3336.87	3339.74	1432	0	11
2025.06.26	10:00:00	3339.82	3343.93	3339.82	3343.25	1565	0	11
2025.06.26	10:15:00	3343.16	3345.91	3343.16	3345.46	1576	0	15
2025.06.26	10:30:00	3345.58	3346.95	3345.02	3346.22	1401	0	15
2025.06.26	10:45:00	3346.20	3347.22	3345.09	3346.09	1343	0	15
2025.06.26	11:00:00	3346.10	3347.28	3344.50	3347.05	1501	0	15
2025.06.26	11:15:00	3347.04	3347.36	3345.40	3345.50	1405	0	15
2025.06.26	11:30:00	3345.55	3347.48	3345.11	3346.98	1344	0	15
2025.06.26	11:45:00	3346.94	3350.28	3346.48	3348.23	1918	0	15
2025.06.26	12:00:00	3348.24	3348.74	3340.58	3341.08	1985	0	15
2025.06.26	12:15:00	3341.09	3342.19	3339.21	3340.60	1636	0	15
2025.06.26	12:30:00	3340.61	3342.02	3338.76	3340.72	1515	0	15
2025.06.26	12:45:00	3340.69	3341.36	3339.22	3340.54	1312	0	15
2025.06.26	13:00:00	3340.53	3342.07	3338.38	3339.57	1482	0	15
2025.06.26	13:15:00	3339.61	3340.66	3337.93	3340.42	1176	0	15
2025.06.26	13:30:00	3340.43	3341.03	3338.45	3339.32	1028	0	15
2025.06.26	13:45:00	3339.37	3343.44	3339.37	3343.24	1125	0	15
2025.06.26	14:00:00	3343.18	3344.05	3341.12	3341.52	1171	0	15
2025.06.26	14:15:00	3341.24	3342.12	3339.15	3339.18	1269	0	15
2025.06.26	14:30:00	3339.24	3339.85	3332.79	3333.86	1655	0	15
2025.06.26	14:45:00	3333.85	3335.88	3331.53	3332.93	1770	0	15
2025.06.26	15:00:00	3332.98	3337.05	3332.18	3335.06	1695	0	15
2025.06.26	15:15:00	3334.95	3344.06	3334.35	3342.91	1672	0	10
2025.06.26	15:30:00	3342.98	3343.48	3330.49	3334.17	2268	0	10
2025.06.26	15:45:00	3334.23	3335.47	3321.76	3322.03	2281	0	15
2025.06.26	16:00:00	3322.05	3324.91	3316.27	3319.59	2420	0	15
2025.06.26	16:15:00	3319.58	3325.48	3318.30	3319.45	2144	0	15
2025.06.26	16:30:00	3319.41	3321.51	3309.99	3321.43	2681	0	15
2025.06.26	16:45:00	3321.47	3328.70	3319.78	3319.92	2430	0	15
2025.06.26	17:00:00	3319.85	3322.93	3317.15	3322.33	2283	0	15
2025.06.26	17:15:00	3322.34	3323.85	3313.19	3313.84	2226	0	15
2025.06.26	17:30:00	3313.79	3320.23	3311.97	3319.28	2340	0	15
2025.06.26	17:45:00	3319.32	3320.69	3316.85	3318.39	2042	0	15
2025.06.26	18:00:00	3318.44	3323.53	3318.44	3323.22	1941	0	15
2025.06.26	18:15:00	3323.21	3323.77	3320.99	3322.31	1623	0	15
2025.06.26	18:30:00	3322.28	3323.55	3320.93	3322.98	1673	0	15
2025.06.26	18:45:00	3323.00	3324.95	3321.33	3324.87	1489	0	15
2025.06.26	19:00:00	3324.94	3326.58	3323.80	3325.78	1461	0	15
2025.06.26	19:15:00	3325.75	3330.97	3325.64	3329.81	1676	0	15
2025.06.26	19:30:00	3329.83	3332.58	3329.58	3331.92	1516	0	15
2025.06.26	19:45:00	3331.85	3333.32	3330.55	3331.34	1636	0	15
2025.06.26	20:00:00	3331.35	3333.52	3331.21	3332.58	1488	0	15
2025.06.26	20:15:00	3332.57	3335.62	3332.40	3334.60	1613	0	15
2025.06.26	20:30:00	3334.59	3335.35	3333.05	3334.94	1368	0	15
2025.06.26	20:45:00	3334.95	3336.43	3332.29	3332.75	1392	0	11
2025.06.26	21:00:00	3332.75	3334.87	3331.32	3334.07	1361	0	11
2025.06.26	21:15:00	3334.07	3334.07	3332.41	3332.57	1180	0	11
2025.06.26	21:30:00	3332.59	3333.90	3332.29	3333.17	1012	0	11
2025.06.26	21:45:00	3333.22	3334.82	3333.01	3334.08	1096	0	11
2025.06.26	22:00:00	3334.09	3334.32	3330.07	3330.07	1101	0	11
2025.06.26	22:15:00	3330.07	3331.07	3328.39	3330.97	1324	0	11
2025.06.26	22:30:00	3330.96	3331.58	3330.38	3330.46	1236	0	12
2025.06.26	22:45:00	3330.54	3331.53	3329.18	3331.36	1305	0	11
2025.06.26	23:00:00	3331.38	3332.38	3330.47	3331.79	634	0	11
2025.06.26	23:15:00	3331.81	3331.90	3329.15	3330.69	401	0	11
2025.06.26	23:30:00	3330.70	3331.02	3329.38	3329.50	425	0	10
2025.06.26	23:45:00	3329.55	3330.24	3327.63	3327.74	584	0	9
2025.06.27	01:00:00	3327.64	3328.28	3322.64	3324.34	750	0	11
2025.06.27	01:15:00	3324.35	3324.36	3321.27	3322.70	517	0	11
2025.06.27	01:30:00	3322.69	3323.93	3319.64	3319.84	591	0	11
2025.06.27	01:45:00	3319.98	3322.52	3318.82	3321.54	664	0	11
2025.06.27	02:00:00	3321.45	3323.71	3321.20	3323.11	602	0	11
2025.06.27	02:15:00	3323.08	3323.53	3321.24	3321.52	578	0	11
2025.06.27	02:30:00	3321.51	3321.90	3318.18	3319.57	912	0	11
2025.06.27	02:45:00	3319.52	3320.95	3316.32	3318.81	956	0	11
2025.06.27	03:00:00	3318.78	3319.95	3314.98	3316.82	1377	0	11
2025.06.27	03:15:00	3316.87	3316.87	3313.70	3315.10	1251	0	11
2025.06.27	03:30:00	3315.09	3315.89	3313.27	3315.06	1166	0	11
2025.06.27	03:45:00	3315.06	3318.83	3313.96	3318.83	1305	0	11
2025.06.27	04:00:00	3318.83	3320.10	3315.90	3316.57	1700	0	11
2025.06.27	04:15:00	3316.58	3321.28	3315.01	3321.21	1515	0	11
2025.06.27	04:30:00	3321.22	3322.05	3316.09	3316.81	1613	0	11
2025.06.27	04:45:00	3316.77	3318.61	3314.86	3316.52	1710	0	11
2025.06.27	05:00:00	3316.49	3320.34	3314.62	3317.93	1560	0	11
2025.06.27	05:15:00	3317.91	3319.92	3313.87	3313.97	1212	0	11
2025.06.27	05:30:00	3313.97	3314.11	3310.98	3311.85	1732	0	11
2025.06.27	05:45:00	3311.82	3312.20	3308.59	3308.87	1711	0	11
2025.06.27	06:00:00	3308.85	3310.88	3304.56	3304.96	1861	0	11
2025.06.27	06:15:00	3305.01	3305.01	3299.45	3302.46	2321	0	11
2025.06.27	06:30:00	3302.47	3303.70	3298.25	3298.98	1371	0	11
2025.06.27	06:45:00	3299.00	3299.01	3292.65	3294.35	1796	0	11
2025.06.27	07:00:00	3294.35	3294.69	3291.15	3293.53	1563	0	11
2025.06.27	07:15:00	3293.49	3295.31	3292.86	3294.10	1243	0	11
2025.06.27	07:30:00	3294.09	3297.42	3293.16	3296.12	1302	0	11
2025.06.27	07:45:00	3296.16	3297.24	3293.08	3293.99	1206	0	11
2025.06.27	08:00:00	3293.97	3296.32	3289.30	3293.77	1386	0	11
2025.06.27	08:15:00	3293.77	3299.51	3293.24	3298.10	1642	0	11
2025.06.27	08:30:00	3298.14	3300.81	3295.14	3300.75	1807	0	11
2025.06.27	08:45:00	3300.75	3300.98	3296.09	3297.16	1619	0	11
2025.06.27	09:00:00	3297.45	3299.93	3292.74	3294.72	1903	0	11
2025.06.27	09:15:00	3294.74	3297.07	3292.97	3294.65	1719	0	15
2025.06.27	09:30:00	3294.63	3295.23	3286.87	3288.27	2177	0	15
2025.06.27	09:45:00	3288.36	3295.88	3287.63	3294.90	2013	0	15
2025.06.27	10:00:00	3294.91	3295.34	3286.93	3287.45	1768	0	15
2025.06.27	10:15:00	3287.44	3289.79	3283.60	3289.16	2053	0	15
2025.06.27	10:30:00	3289.17	3289.96	3285.10	3287.40	1760	0	15
2025.06.27	10:45:00	3287.42	3287.82	3284.43	3284.52	1756	0	15
2025.06.27	11:00:00	3284.51	3287.92	3282.42	3283.77	1864	0	15
2025.06.27	11:15:00	3283.70	3287.42	3281.93	3283.37	1973	0	15
2025.06.27	11:30:00	3283.39	3288.01	3283.00	3287.68	1633	0	15
2025.06.27	11:45:00	3287.73	3291.05	3287.73	3289.37	1711	0	15
2025.06.27	12:00:00	3289.35	3289.68	3285.52	3285.53	1643	0	15
2025.06.27	12:15:00	3285.54	3288.37	3284.17	3285.63	1975	0	15
2025.06.27	12:30:00	3285.66	3289.34	3285.04	3287.19	1687	0	15
2025.06.27	12:45:00	3287.18	3288.03	3282.15	3282.79	1696	0	15
2025.06.27	13:00:00	3282.80	3290.39	3282.57	3288.59	1580	0	15
2025.06.27	13:15:00	3288.60	3290.92	3286.35	3287.35	1731	0	15
2025.06.27	13:30:00	3287.36	3287.73	3283.44	3284.89	1498	0	15
2025.06.27	13:45:00	3284.93	3285.98	3279.75	3285.56	1768	0	15
2025.06.27	14:00:00	3285.91	3287.90	3283.42	3284.09	1499	0	15
2025.06.27	14:15:00	3284.14	3285.71	3282.56	3284.82	1583	0	15
2025.06.27	14:30:00	3284.77	3285.02	3279.18	3281.35	1729	0	15
2025.06.27	14:45:00	3281.19	3283.56	3276.05	3281.40	1833	0	15
2025.06.27	15:00:00	3281.30	3282.30	3272.39	3275.65	1992	0	15
2025.06.27	15:15:00	3275.83	3281.33	3272.88	3279.91	2034	0	10
2025.06.27	15:30:00	3279.92	3280.76	3270.89	3271.13	2370	0	10
2025.06.27	15:45:00	3271.17	3276.25	3269.57	3270.07	2160	0	15
2025.06.27	16:00:00	3270.10	3270.56	3261.61	3262.81	2523	0	15
2025.06.27	16:15:00	3262.75	3263.87	3256.35	3256.78	2498	0	15
2025.06.27	16:30:00	3256.76	3265.41	3255.82	3265.38	2567	0	15
2025.06.27	16:45:00	3265.42	3274.45	3264.07	3274.26	2363	0	15
2025.06.27	17:00:00	3273.79	3277.26	3270.48	3270.52	2379	0	15
2025.06.27	17:15:00	3270.10	3275.13	3264.85	3274.88	2396	0	15
2025.06.27	17:30:00	3275.25	3278.02	3265.95	3267.85	2378	0	15
2025.06.27	17:45:00	3267.84	3272.68	3263.62	3272.41	2176	0	15
2025.06.27	18:00:00	3272.49	3275.49	3271.54	3272.68	2082	0	15
2025.06.27	18:15:00	3272.67	3274.43	3271.52	3272.10	1768	0	15
2025.06.27	18:30:00	3271.97	3277.05	3270.97	3276.86	1907	0	15
2025.06.27	18:45:00	3277.03	3277.50	3274.03	3274.56	1733	0	15
2025.06.27	19:00:00	3274.58	3277.45	3274.24	3276.86	1535	0	15
2025.06.27	19:15:00	3276.85	3278.22	3275.70	3277.81	1582	0	15
2025.06.27	19:30:00	3277.79	3278.58	3273.41	3274.83	1578	0	15
2025.06.27	19:45:00	3274.81	3278.15	3273.87	3277.68	1436	0	15
2025.06.27	20:00:00	3277.69	3277.73	3274.34	3276.17	1596	0	15
2025.06.27	20:15:00	3276.20	3276.89	3274.04	3276.03	1624	0	15
2025.06.27	20:30:00	3275.95	3276.26	3272.77	3273.19	1534	0	15
2025.06.27	20:45:00	3273.21	3282.77	3272.78	3277.38	1977	0	11
2025.06.27	21:00:00	3277.40	3278.38	3272.46	3274.52	1711	0	11
2025.06.27	21:15:00	3274.49	3275.73	3272.91	3274.14	1486	0	11
2025.06.27	21:30:00	3274.11	3274.14	3270.58	3270.93	1512	0	11
2025.06.27	21:45:00	3270.88	3276.56	3270.85	3275.80	1471	0	11
2025.06.27	22:00:00	3275.78	3276.50	3272.24	3273.28	1294	0	11
2025.06.27	22:15:00	3273.30	3273.30	3268.43	3271.56	1471	0	11
2025.06.27	22:30:00	3271.59	3272.15	3269.49	3270.59	1501	0	11
2025.06.27	22:45:00	3270.58	3271.88	3269.69	3270.62	1585	0	11
2025.06.27	23:00:00	3271.30	3273.68	3270.43	3273.58	596	0	10
2025.06.27	23:15:00	3273.59	3275.54	3272.35	3273.54	532	0	10
2025.06.27	23:30:00	3273.48	3273.97	3273.06	3273.51	441	0	10
2025.06.27	23:45:00	3273.35	3275.02	3273.35	3274.45	364	0	10
2025.06.30	01:00:00	3272.35	3281.84	3264.60	3265.85	1514	0	11
2025.06.30	01:15:00	3265.74	3266.04	3248.32	3249.38	2107	0	11
2025.06.30	01:30:00	3249.47	3265.10	3248.93	3264.03	1739	0	11
2025.06.30	01:45:00	3263.99	3265.68	3261.88	3263.77	1227	0	11
2025.06.30	02:00:00	3263.76	3270.83	3263.76	3267.60	1625	0	11
2025.06.30	02:15:00	3267.72	3270.08	3267.59	3268.37	979	0	11
2025.06.30	02:30:00	3268.42	3270.14	3266.65	3266.91	1108	0	11
2025.06.30	02:45:00	3266.92	3268.65	3262.88	3263.88	1270	0	11
2025.06.30	03:00:00	3263.73	3268.29	3263.10	3268.03	1403	0	11
2025.06.30	03:15:00	3267.73	3269.62	3266.46	3268.41	1239	0	11
2025.06.30	03:30:00	3268.40	3268.97	3262.69	3265.08	1365	0	11
2025.06.30	03:45:00	3264.83	3266.79	3263.67	3264.66	1384	0	11
2025.06.30	04:00:00	3264.55	3268.52	3259.54	3267.85	2444	0	11
2025.06.30	04:15:00	3267.86	3275.84	3267.86	3275.21	1834	0	11
2025.06.30	04:30:00	3275.22	3275.99	3271.13	3271.88	1674	0	11
2025.06.30	04:45:00	3271.90	3275.20	3271.76	3273.92	1609	0	11
2025.06.30	05:00:00	3274.00	3282.48	3273.74	3279.95	1980	0	11
2025.06.30	05:15:00	3279.95	3282.59	3279.32	3280.40	1265	0	11
2025.06.30	05:30:00	3280.43	3283.31	3277.53	3278.54	1526	0	11
2025.06.30	05:45:00	3278.53	3280.96	3277.35	3280.35	1327	0	11
2025.06.30	06:00:00	3280.25	3281.27	3279.26	3280.77	1234	0	11
2025.06.30	06:15:00	3280.76	3282.74	3278.25	3279.06	1443	0	11
2025.06.30	06:30:00	3278.94	3280.52	3278.50	3278.98	903	0	11
2025.06.30	06:45:00	3278.97	3281.14	3277.98	3278.98	1122	0	11
2025.06.30	07:00:00	3279.03	3281.48	3278.61	3280.56	979	0	11
2025.06.30	07:15:00	3280.58	3280.98	3276.97	3278.12	1020	0	11
2025.06.30	07:30:00	3278.14	3280.78	3278.11	3280.02	638	0	11
2025.06.30	07:45:00	3280.02	3286.35	3280.00	3285.71	1175	0	11
2025.06.30	08:00:00	3285.66	3287.22	3284.73	3286.46	1181	0	11
2025.06.30	08:15:00	3286.48	3288.91	3285.94	3288.09	1211	0	11
2025.06.30	08:30:00	3288.12	3289.74	3286.32	3287.70	1530	0	11
2025.06.30	08:45:00	3287.70	3291.32	3287.51	3288.96	1344	0	11
2025.06.30	09:00:00	3288.95	3291.43	3288.95	3290.15	1479	0	11
2025.06.30	09:15:00	3290.09	3291.69	3287.90	3290.69	1622	0	15
2025.06.30	09:30:00	3290.68	3295.52	3289.37	3295.07	1754	0	15
2025.06.30	09:45:00	3295.32	3295.42	3290.98	3292.11	1716	0	15
2025.06.30	10:00:00	3292.03	3295.53	3291.09	3294.83	1532	0	15
2025.06.30	10:15:00	3294.86	3296.78	3293.80	3295.19	1437	0	15
2025.06.30	10:30:00	3295.15	3296.10	3293.25	3293.97	1286	0	15
2025.06.30	10:45:00	3293.91	3296.38	3290.75	3292.91	1651	0	15
2025.06.30	11:00:00	3292.89	3296.49	3292.77	3294.38	1623	0	15
2025.06.30	11:15:00	3294.48	3294.74	3291.20	3293.06	1246	0	15
2025.06.30	11:30:00	3293.14	3293.46	3288.47	3289.64	1350	0	15
2025.06.30	11:45:00	3289.63	3291.55	3288.27	3289.15	1453	0	15
2025.06.30	12:00:00	3289.14	3289.14	3281.44	3282.88	1880	0	15
2025.06.30	12:15:00	3282.93	3286.85	3282.05	3284.44	1461	0	15
2025.06.30	12:30:00	3284.45	3286.54	3277.46	3285.44	2017	0	15
2025.06.30	12:45:00	3285.31	3287.94	3284.60	3287.82	1363	0	15
2025.06.30	13:00:00	3287.85	3288.79	3285.58	3287.00	1235	0	15
2025.06.30	13:15:00	3286.99	3287.54	3284.69	3286.02	1192	0	15
2025.06.30	13:30:00	3286.03	3286.75	3282.74	3282.92	1248	0	15
2025.06.30	13:45:00	3282.93	3284.26	3282.46	3283.52	1340	0	15
2025.06.30	14:00:00	3283.61	3283.74	3279.48	3280.52	1305	0	15
2025.06.30	14:15:00	3280.54	3281.41	3274.72	3275.92	1629	0	15
2025.06.30	14:30:00	3275.94	3279.71	3274.53	3278.97	1524	0	15
2025.06.30	14:45:00	3278.95	3280.18	3276.90	3277.90	1473	0	15
2025.06.30	15:00:00	3277.92	3282.42	3277.92	3281.11	1608	0	15
2025.06.30	15:15:00	3281.13	3287.18	3281.03	3284.32	1765	0	15
2025.06.30	15:30:00	3284.30	3288.78	3281.66	3288.42	1677	0	15
2025.06.30	15:45:00	3288.43	3288.93	3281.45	3281.96	1826	0	15
2025.06.30	16:00:00	3281.94	3285.06	3280.33	3280.60	2104	0	15
2025.06.30	16:15:00	3280.59	3283.13	3278.77	3283.02	2074	0	15
2025.06.30	16:30:00	3283.01	3283.70	3277.96	3283.26	1959	0	15
2025.06.30	16:45:00	3283.18	3287.07	3282.83	3284.81	2019	0	15
2025.06.30	17:00:00	3284.75	3288.72	3282.00	3282.32	2053	0	15
2025.06.30	17:15:00	3282.35	3285.35	3279.29	3285.14	1877	0	15
2025.06.30	17:30:00	3285.13	3289.56	3284.01	3287.65	1734	0	15
2025.06.30	17:45:00	3287.58	3289.27	3285.09	3287.66	1889	0	15
2025.06.30	18:00:00	3287.63	3290.15	3283.69	3284.69	1917	0	15
2025.06.30	18:15:00	3284.73	3290.74	3284.42	3287.19	1758	0	15
2025.06.30	18:30:00	3287.20	3288.50	3286.04	3287.73	1526	0	15
2025.06.30	18:45:00	3287.74	3290.25	3286.54	3289.51	1584	0	15
2025.06.30	19:00:00	3289.57	3293.32	3289.11	3293.32	1557	0	15
2025.06.30	19:15:00	3293.38	3294.43	3291.98	3292.38	1498	0	15
2025.06.30	19:30:00	3292.39	3295.28	3292.39	3294.49	1345	0	15
2025.06.30	19:45:00	3294.48	3297.46	3294.36	3297.33	1324	0	15
2025.06.30	20:00:00	3297.24	3298.55	3294.45	3294.66	1457	0	15
2025.06.30	20:15:00	3294.68	3297.68	3294.66	3295.87	1392	0	15
2025.06.30	20:30:00	3295.98	3296.94	3293.60	3293.71	1232	0	15
2025.06.30	20:45:00	3293.69	3294.73	3292.04	3294.09	1301	0	11
2025.06.30	21:00:00	3294.09	3298.41	3292.63	3297.52	1218	0	11
2025.06.30	21:15:00	3297.49	3299.07	3297.18	3299.04	1206	0	11
2025.06.30	21:30:00	3299.18	3299.56	3298.20	3299.14	929	0	11
2025.06.30	21:45:00	3299.09	3299.31	3297.59	3298.47	1257	0	11
2025.06.30	22:00:00	3298.50	3303.57	3298.09	3303.14	1294	0	11
2025.06.30	22:15:00	3303.16	3306.99	3303.02	3306.03	1404	0	11
